SpecID,Subphylum
Spec918,Ascomycota
Spec919,Ascomycota
Spec920,Ascomycota
Spec921,Ascomycota
Spec922,Ascomycota
Spec923,Ascomycota
Spec924,Ascomycota
Spec925,Ascomycota
Spec926,Ascomycota
Spec927,Ascomycota
Spec928,Ascomycota
Spec929,Ascomycota
Spec930,Ascomycota
Spec931,Ascomycota
Spec932,Ascomycota
Spec933,Ascomycota
Spec934,Ascomycota
Spec935,Ascomycota
Spec936,Ascomycota
Spec937,Ascomycota
Spec938,Ascomycota
Spec939,Ascomycota
Spec940,Ascomycota
Spec941,Ascomycota
Spec942,Ascomycota
Spec943,Ascomycota
Spec866,Ascomycota
Spec944,Ascomycota
Spec945,Ascomycota
Spec946,Ascomycota
Spec947,Ascomycota
Spec948,Ascomycota
Spec949,Ascomycota
Spec950,Basidiomycota
Spec951,Ascomycota
Spec952,Ascomycota
Spec953,Ascomycota
Spec954,Ascomycota
Spec955,Ascomycota
Spec956,Ascomycota
Spec957,Ascomycota
Spec958,Ascomycota
Spec959,Ascomycota
Spec778,Ascomycota
Spec960,Ascomycota
Spec961,Ascomycota
Spec962,Ascomycota
Spec963,Ascomycota
Spec964,Ascomycota
Spec965,Ascomycota
Spec966,Ascomycota
Spec967,Ascomycota
Spec968,Ascomycota
Spec969,Ascomycota
Spec970,Ascomycota
Spec971,Ascomycota
Spec972,Ascomycota
Spec973,Ascomycota
Spec974,Ascomycota
Spec975,Ascomycota
Spec976,Ascomycota
Spec977,Ascomycota
Spec978,Ascomycota
Spec979,Ascomycota
Spec980,Ascomycota
Spec981,Ascomycota
Spec982,Ascomycota
Spec983,Ascomycota
Spec984,Ascomycota
Spec985,Ascomycota
Spec986,Ascomycota
Spec987,Ascomycota
Spec988,Ascomycota
Spec989,Ascomycota
Spec990,Ascomycota
Spec991,Ascomycota
Spec992,Ascomycota
Spec993,Ascomycota
Spec994,Ascomycota
Spec995,Ascomycota
Spec996,Ascomycota
Spec997,Ascomycota
Spec998,Ascomycota
